Date,IEI,TLT
2013-10-04,115.793643,96.276261
2013-10-03,115.994407,96.349123
2013-10-02,115.898806,96.50395
2013-10-01,115.717159,96.358233
2013-09-30,115.903582,96.651497
2013-09-27,115.827159,96.796834
2013-09-26,115.674311,96.560661
2013-09-25,115.779392,97.241945
2013-09-24,115.607442,97.0421
2013-09-23,115.454602,96.006549
2013-09-20,115.273097,95.307094
2013-09-19,115.282652,94.80749
2013-09-18,115.473704,95.37068
2013-09-17,114.661721,94.207956
2013-09-16,114.537538,93.435836
2013-09-13,114.241398,94.062619
2013-09-12,114.155427,93.699266
2013-09-11,114.174529,93.826439
2013-09-10,113.849739,92.999811
2013-09-09,114.117215,93.653845
2013-09-06,113.907053,93.60843
2013-09-05,113.467627,93.145155
2013-09-04,113.973922,94.462301
2013-09-03,114.27961,94.671231
2013-08-30,114.518431,96.02562
2013-08-29,114.642532,96.134341
2013-08-28,114.585256,95.373307
2013-08-27,114.814367,96.152457
2013-08-26,114.537528,94.956554
2013-08-23,114.337048,94.485444
2013-08-22,114.098388,93.470735
2013-08-21,114.298869,92.528507
2013-08-20,114.709363,93.552277
2013-08-19,114.432517,92.836546
2013-08-16,114.604353,93.651937
2013-08-15,114.814367,93.978093
2013-08-14,115.053027,95.264593
2013-08-13,115.033937,95.119632
2013-08-12,115.511256,96.514854
2013-08-09,115.59717,97.176228
2013-08-08,115.530346,97.022205
2013-08-07,115.482618,96.759474
2013-08-06,115.368059,96.043743
2013-08-05,115.387156,95.762882
2013-08-02,115.520805,96.505792
2013-08-01,114.909837,95.45485
2013-07-31,115.409111,97.330239
2013-07-30,115.399569,96.97779
2013-07-29,115.437728,97.01394
2013-07-26,115.475887,97.727876
2013-07-25,115.418645,97.131427
2013-07-24,115.294634,97.16757
2013-07-23,115.60944,98.414703
2013-07-22,115.676216,98.830411
2013-07-19,115.647599,98.685814
2013-07-18,115.418645,97.149499
2013-07-17,115.599898,98.378553
2013-07-16,115.294634,98.197813
2013-07-15,115.266016,97.863435
2013-07-12,115.094305,97.348317
2013-07-11,115.180157,97.429648
2013-07-10,114.550552,96.300003
2013-07-09,114.703181,97.059128
2013-07-08,114.62687,96.959719
2013-07-05,114.178512,96.028892
2013-07-03,115.094305,99.417828
2013-07-02,115.237399,99.716049
2013-07-01,115.218316,99.779316
2013-06-28,115.121015,99.57869
2013-06-27,115.178227,98.90245
2013-06-26,114.84451,97.901613
2013-06-25,114.615681,97.270451
2013-06-24,114.625218,98.145057
2013-06-21,114.796841,97.739315
2013-06-20,115.464262,99.425404
2013-06-19,115.635885,101.084451
2013-06-18,116.589347,102.139385
2013-06-17,116.646553,102.085288
2013-06-14,116.675163,102.626279
2013-06-13,116.522605,102.869723
2013-06-12,116.122153,101.282816
2013-06-11,116.341445,102.75251
2013-06-10,116.255637,101.544297
2013-06-07,116.398658,102.031191
2013-06-06,116.760971,103.888596
2013-06-05,116.722831,103.951712
2013-06-04,116.551208,102.536115
2013-06-03,116.675163,103.491866
2013-05-31,116.638925,102.946368
2013-05-30,116.762814,103.297168
2013-05-29,116.762814,103.54903
2013-05-28,116.629393,102.39768
2013-05-24,117.229794,105.06017
2013-05-23,117.229794,104.916249
2013-05-22,117.191673,104.421528
2013-05-21,117.582403,105.995631
2013-05-20,117.477572,105.168104
2013-05-17,117.506168,105.294032
2013-05-16,117.725356,106.643264
2013-05-15,117.487104,105.545887
2013-05-14,117.382272,104.844288
2013-05-13,117.525225,105.995631
2013-05-10,117.611,106.814168
2013-05-09,117.896899,107.974508
2013-05-08,117.915963,108.253347
2013-05-07,117.887366,108.082449
2013-05-06,117.925488,108.505203
2013-05-03,117.963609,108.775052
2013-05-02,118.392468,111.401554
2013-05-01,118.354347,111.545476
2013-04-30,118.228555,110.411218
2013-04-29,118.228555,110.348388
2013-04-26,118.180925,110.752296
2013-04-25,118.028523,109.747005
2013-04-24,118.047571,110.222728
2013-04-23,118.028523,109.944473
2013-04-22,118.057098,110.330433
2013-04-19,117.980894,110.249654
2013-04-18,118.028523,110.48302
2013-04-17,118.047571,110.21375
2013-04-16,117.990421,109.486713
2013-04-15,118.104721,110.393263
2013-04-12,118.028523,109.441831
2013-04-11,117.828485,107.835164
2013-04-10,117.761808,107.628724
2013-04-09,117.980894,109.12768
2013-04-08,117.914217,109.39695
2013-04-05,118.038044,110.240676
2013-04-04,117.990421,108.059559
2013-04-03,117.828485,106.784998
2013-04-02,117.590351,105.833566
2013-04-01,117.647508,106.2644
2013-03-28,117.565587,105.470044
2013-03-27,117.651273,106.007424
2013-03-26,117.460863,105.111788
2013-03-25,117.375185,104.9864
2013-03-22,117.346625,105.08492
2013-03-21,117.346625,105.004309
2013-03-20,117.270461,104.001202
2013-03-19,117.413267,105.174482
2013-03-18,117.279984,104.466929
2013-03-15,117.137178,103.678773
2013-03-14,116.918209,103.195129
2013-03-13,116.88965,103.5086
2013-03-12,116.927732,103.616078
2013-03-11,116.803971,102.872699
2013-03-08,116.784926,102.774179
2013-03-07,117.003895,103.857897
2013-03-06,117.232379,104.66397
2013-03-05,117.394222,105.6223
2013-03-04,117.479908,105.926813
2013-03-01,117.537027,106.491068
2013-02-28,117.444677,105.914282
2013-02-27,117.378066,105.717664
2013-02-26,117.368549,106.030463
2013-02-25,117.406613,106.647129
2013-02-22,117.035495,104.59158
2013-02-21,116.978402,104.520081
2013-02-20,116.854699,103.912354
2013-02-19,116.740506,103.599554
2013-02-15,116.816635,104.117911
2013-02-14,116.883245,104.421772
2013-02-13,116.645349,103.483374
2013-02-12,116.835663,104.332401
2013-02-11,116.92131,104.59158
2013-02-08,116.978402,104.672018
2013-02-07,116.968884,104.269841
2013-02-06,116.93082,104.50221
2013-02-05,116.77857,103.653182
2013-02-04,116.940338,104.582641
2013-02-01,116.626313,103.259945
2013-01-31,116.734792,104.618394
2013-01-30,116.725286,104.110105
2013-01-29,116.649199,104.288449
2013-01-28,116.687243,104.868079
2013-01-25,116.782349,105.251525
2013-01-24,117.153267,106.713971
2013-01-23,117.257885,107.088498
2013-01-22,117.229354,107.249011
2013-01-18,117.16278,107.043915
2013-01-17,117.039135,106.22352
2013-01-16,117.276904,107.2936
2013-01-15,117.200823,107.070666
2013-01-14,117.115223,106.580209
2013-01-11,117.115223,106.874483
2013-01-10,116.963055,105.929246
2013-01-09,117.10571,106.22352
2013-01-08,117.020117,106.321612
2013-01-07,116.886967,105.626052
2013-01-04,116.848923,105.58147
2013-01-03,116.848923,105.171272
2013-01-02,117.115223,106.615879
2012-12-31,117.191311,108.060493
2012-12-28,117.391035,109.959887
2012-12-27,117.295929,109.335675
2012-12-26,117.16278,108.97006
2012-12-24,117.102863,108.57948
2012-12-21,117.150388,108.775232
2012-12-20,116.998298,107.600726
2012-12-19,117.026814,107.582934
2012-12-18,116.922249,107.227022
2012-12-17,117.13138,108.330343
2012-12-14,117.388035,109.976429
2012-12-13,117.321494,109.157836
2012-12-12,117.4926,109.077752
2012-12-11,117.625682,110.359033
2012-12-10,117.711238,111.204326
2012-12-07,117.673214,110.714946
2012-12-06,117.768271,111.747083
2012-12-05,117.749263,111.506846
2012-12-04,117.673214,111.560231
2012-12-03,117.63519,110.919597
2012-11-30,117.665607,110.817271
2012-11-29,117.589601,111.119198
2012-11-28,117.551595,111.10144
2012-11-27,117.466078,111.261286
2012-11-26,117.352066,110.826153
2012-11-23,117.266549,110.302212
2012-11-21,117.295052,110.408778
2012-11-20,117.380569,110.47094
2012-11-19,117.551595,111.58986
2012-11-16,117.656111,112.22036
2012-11-15,117.608601,112.318044
2012-11-14,117.580098,112.540051
2012-11-13,117.599097,112.433485
2012-11-12,117.551595,112.060514
2012-11-09,117.494589,111.874029
2012-11-08,117.504085,111.749699
2012-11-07,117.304556,110.115726
2012-11-06,116.895994,108.153181
2012-11-05,117.171536,109.183292
2012-11-02,117.029014,108.570556
2012-11-01,117.010014,108.650476
2012-10-31,117.105027,109.547388
2012-10-26,116.895994,108.908005
2012-10-25,116.610956,107.327313
2012-10-24,116.857988,107.877894
2012-10-23,116.876995,108.952409
2012-10-22,116.677466,107.416114
2012-10-19,116.867491,108.108777
2012-10-18,116.696465,106.66129
2012-10-17,116.791478,107.31843
2012-10-16,117.152537,108.321909
2012-10-15,117.314059,109.840439
2012-10-12,117.352066,110.089087
2012-10-11,117.323563,109.8138
2012-10-10,117.333059,109.058969
2012-10-09,117.285556,108.295262
2012-10-08,117.399569,108.49063
2012-10-05,117.228543,107.584842
2012-10-04,117.428072,108.996807
2012-10-03,117.580098,110.373256
2012-10-02,117.532588,110.337734
2012-10-01,117.513588,110.488697
2012-09-28,117.491738,110.080205
2012-09-27,117.425262,110.018173
2012-09-26,117.47274,110.806865
2012-09-25,117.254323,109.628256
2012-09-24,117.197346,108.555989
2012-09-21,117.140361,107.714129
2012-09-20,117.016908,107.590066
2012-09-19,116.997911,107.324212
2012-09-18,116.940934,106.624135
2012-09-17,116.807982,106.092434
2012-09-14,116.788992,104.834072
2012-09-13,117.197346,107.696402
2012-09-12,116.969423,108.121767
2012-09-11,117.130863,109.486472
2012-09-10,117.206837,110.177684
2012-09-07,117.187847,109.91183
2012-09-06,117.054896,110.425811
2012-09-05,117.368277,112.295633
2012-09-04,117.349287,112.827335
2012-08-31,117.522125,112.940764
2012-08-30,117.180435,111.366739
2012-08-29,117.019084,110.791953
2012-08-28,117.019084,111.278305
2012-08-27,117.00959,111.013024
2012-08-24,116.876712,110.367494
2012-08-23,116.943151,110.47361
2012-08-22,116.848239,110.013786
2012-08-21,116.42113,108.227528
2012-08-20,116.402143,107.750014
2012-08-17,116.354683,107.528943
2012-08-16,116.240792,107.007218
2012-08-15,116.37367,107.926875
2012-08-14,116.629934,109.465527
2012-08-13,116.838745,110.968807
2012-08-10,116.810272,111.154506
2012-08-09,116.705867,110.59741
2012-08-08,116.696373,110.676999
2012-08-07,116.829252,111.269467
2012-08-06,117.104502,112.719693
